iter	MultiClass
0	2.026444898
1	1.982359148
2	1.947085026
3	1.919518954
4	1.890713976
5	1.871165269
6	1.850030619
7	1.827285816
8	1.811351654
9	1.797196334
10	1.78445385
11	1.769630751
12	1.75888633
13	1.747670478
14	1.738793005
15	1.729241573
16	1.720437663
17	1.711267032
18	1.703497707
19	1.695667513
20	1.687811993
21	1.681711906
22	1.674346829
23	1.669097527
24	1.661568952
25	1.655493526
26	1.648980722
27	1.643668813
28	1.639222019
29	1.633045135
30	1.628070319
31	1.622325281
32	1.616824733
33	1.612143682
34	1.606742196
35	1.601535186
36	1.597292849
37	1.593475245
38	1.589759778
39	1.584302709
40	1.579998669
41	1.574096162
42	1.568414092
43	1.563928668
44	1.561357154
45	1.55731676
46	1.553779973
47	1.548934973
48	1.545207433
49	1.541390237
50	1.536992885
51	1.532978947
52	1.529452486
53	1.526474302
54	1.52248448
55	1.519136159
56	1.515362505
57	1.512568635
58	1.508136804
59	1.505402942
60	1.501937026
61	1.497984829
62	1.494579989
63	1.491056412
64	1.48690939
65	1.483542011
66	1.479777745
67	1.476720894
68	1.473325863
69	1.470309237
70	1.466842516
71	1.462549536
72	1.460570774
73	1.457599114
74	1.454258537
75	1.45092757
76	1.44768076
77	1.445150702
78	1.442141317
79	1.43871395
80	1.436232066
81	1.433756031
82	1.43125189
83	1.427898049
84	1.424562946
85	1.421699105
86	1.418369271
87	1.414813308
88	1.412369998
89	1.409280612
90	1.40663983
91	1.404907273
92	1.401580461
93	1.398283518
94	1.395094024
95	1.392629288
96	1.389282516
97	1.386305365
98	1.383719243
99	1.380641861
100	1.378524766
101	1.376528322
102	1.373703933
103	1.371452384
104	1.368984348
105	1.367214828
106	1.365006824
107	1.361947088
108	1.359914992
109	1.357707377
110	1.355287035
111	1.352515034
112	1.349970063
113	1.347757191
114	1.343546533
115	1.341183173
116	1.337968966
117	1.335392387
118	1.332986596
119	1.330939778
120	1.328286833
121	1.326234981
122	1.323876001
123	1.321869763
124	1.319450056
125	1.31714288
126	1.315375596
127	1.313115121
128	1.31071264
129	1.30954637
130	1.307688254
131	1.305485431
132	1.302936325
133	1.300307336
134	1.298102211
135	1.296571137
136	1.294803318
137	1.292017958
138	1.290640627
139	1.287905133
140	1.285443103
141	1.283259189
142	1.279984567
143	1.27682385
144	1.275277271
145	1.272770531
146	1.270889057
147	1.266892115
148	1.265317435
149	1.262461305
150	1.259203372
151	1.257366563
152	1.255474157
153	1.25261229
154	1.250036633
155	1.247304003
156	1.245454212
157	1.2431788
158	1.240735359
159	1.238749403
160	1.236133508
161	1.233680163
162	1.231118466
163	1.228901924
164	1.227159454
165	1.224695851
166	1.223338056
167	1.220549779
168	1.218172415
169	1.215236862
170	1.21354448
171	1.211737035
172	1.209292163
173	1.207480153
174	1.205857596
175	1.204684917
176	1.202777047
177	1.200215917
178	1.198197079
179	1.195906613
180	1.194490106
181	1.191773649
182	1.19050071
183	1.188169678
184	1.186750054
185	1.184583783
186	1.182464712
187	1.179580408
188	1.178398991
189	1.176982643
190	1.175112784
191	1.173394256
192	1.170683241
193	1.168481219
194	1.166458802
195	1.163729751
196	1.162484201
197	1.160467493
198	1.158219812
199	1.156580008
200	1.155238667
201	1.153434889
202	1.15175071
203	1.1501626
204	1.147348645
205	1.145362836
206	1.143179575
207	1.140456192
208	1.138674089
209	1.136692265
210	1.134812335
211	1.132676314
212	1.130520192
213	1.128581946
214	1.126382384
215	1.124420074
216	1.123036396
217	1.121216868
218	1.119027902
219	1.116853164
220	1.115509097
221	1.113054577
222	1.110720705
223	1.108636759
224	1.106322029
225	1.10457569
226	1.102934501
227	1.101358852
228	1.099588612
229	1.097243811
230	1.09485982
231	1.093210661
232	1.090999677
233	1.089675544
234	1.088527941
235	1.087198656
236	1.086363237
237	1.085097057
238	1.083179929
239	1.081948792
240	1.079964893
241	1.078561416
242	1.077119678
243	1.074760242
244	1.073328556
245	1.071226895
246	1.069285898
247	1.067967214
248	1.065994673
249	1.064164318
250	1.06298879
251	1.061581288
252	1.06017081
253	1.057921182
254	1.056585438
255	1.054686838
256	1.052193834
257	1.050702001
258	1.048483352
259	1.04665439
260	1.04525557
261	1.043772444
262	1.041431054
263	1.040419118
264	1.03911482
265	1.037791338
266	1.035222933
267	1.03373501
268	1.031833601
269	1.030791783
270	1.029506058
271	1.027217519
272	1.025435829
273	1.023272837
274	1.021931838
275	1.020830272
276	1.019166616
277	1.017703484
278	1.01649347
279	1.014888139
280	1.01323809
281	1.011560556
282	1.010216714
283	1.009185482
284	1.007160331
285	1.00566377
286	1.003861862
287	1.002210941
288	1.001122097
289	0.9999321795
290	0.9982936225
291	0.9966032316
292	0.9948194622
293	0.9938481277
294	0.9923265122
295	0.9908998378
296	0.9894005123
297	0.9875015021
298	0.9860569298
299	0.9843633023
300	0.9827792997
301	0.9811440823
302	0.979709772
303	0.9784151687
304	0.9769382477
305	0.9754364447
306	0.9730487299
307	0.9720595045
308	0.970612953
309	0.9693222218
310	0.967876246
311	0.965999134
312	0.9643407972
313	0.9627707593
314	0.9607841087
315	0.9591086182
316	0.9575576455
317	0.9566534325
318	0.9552232654
319	0.9530152387
320	0.95197118
321	0.9506560641
322	0.9494360846
323	0.9481319287
324	0.9469397011
325	0.9451867502
326	0.9429737016
327	0.9416218278
328	0.9398840623
329	0.9390523417
330	0.9377330367
331	0.9367258395
332	0.935638053
333	0.9346744342
334	0.9334664609
335	0.9323828315
336	0.9300918907
337	0.929519848
338	0.9282134561
339	0.9263713032
340	0.924820913
341	0.9232530843
342	0.9217353311
343	0.9209536676
344	0.9198834962
345	0.9184912351
346	0.9173540724
347	0.9156303016
348	0.9146327969
349	0.9135106335
350	0.9118466687
351	0.91027617
352	0.908982283
353	0.9078599721
354	0.9067232256
355	0.9055347243
356	0.9032607602
357	0.9015777978
358	0.899704201
359	0.8984138572
360	0.8968177797
361	0.8955567162
362	0.8942682466
363	0.8919239668
364	0.8905396939
365	0.8891899714
366	0.8880037715
367	0.8861669966
368	0.8849663177
369	0.8832843503
370	0.8819577314
371	0.8810873231
372	0.8800192077
373	0.8781577361
374	0.8763931678
375	0.875164836
376	0.8740987135
377	0.8722500015
378	0.8706619411
379	0.8694102767
380	0.8681577499
381	0.8665723997
382	0.8655516613
383	0.864344102
384	0.863193719
385	0.8622620067
386	0.8609531186
387	0.859832531
388	0.8578255317
389	0.856875686
390	0.8553186646
391	0.8539069926
392	0.8520237056
393	0.8502627386
394	0.8487290606
395	0.8467806812
396	0.8454219339
397	0.8442180545
398	0.8431618392
399	0.8418338221
400	0.8402110257
401	0.8391116211
402	0.8384248017
403	0.8376169702
404	0.8366210979
405	0.8350713467
406	0.8332713841
407	0.8320992509
408	0.8303954938
409	0.8292287145
410	0.8279985813
411	0.8263522094
412	0.8246481262
413	0.8232741314
414	0.8218992869
415	0.8211072005
416	0.8201363536
417	0.8187293328
418	0.8169528404
419	0.8160082238
420	0.8148358755
421	0.8135279664
422	0.8124289831
423	0.8108042958
424	0.8095688169
425	0.8089165437
426	0.8079278489
427	0.8065787071
428	0.804984238
429	0.8042139612
430	0.8026446378
431	0.8012674877
432	0.7994306031
433	0.7972250638
434	0.7958547829
435	0.7943083513
436	0.793258105
437	0.7921662478
438	0.7912023028
439	0.7902894225
440	0.7891127553
441	0.7874700729
442	0.7856311904
443	0.7841243176
444	0.7833124814
445	0.7821563521
446	0.7807352776
447	0.7796532438
448	0.7782837801
449	0.7771566925
450	0.776171608
451	0.7745159521
452	0.7734034103
453	0.7722163965
454	0.7709131556
455	0.7694886433
456	0.768397733
457	0.7673017127
458	0.766573331
459	0.7651640109
460	0.7640424238
461	0.7625886508
462	0.7618903969
463	0.7604651692
464	0.7588948966
465	0.7579521531
466	0.7560782445
467	0.7548558181
468	0.7532533537
469	0.7515839232
470	0.7503978834
471	0.7495061191
472	0.7481616347
473	0.7464169982
474	0.7451633764
475	0.7447044515
476	0.7432995135
477	0.7424881616
478	0.7408737585
479	0.7398646456
480	0.7389284388
481	0.7377922095
482	0.7360970963
483	0.7346376829
484	0.7335125279
485	0.7328112098
486	0.7320427741
487	0.7306634669
488	0.7294526777
489	0.7287251843
490	0.7273365277
491	0.7264323019
492	0.7253152454
493	0.7246690225
494	0.7229306518
495	0.721983649
496	0.7207755129
497	0.7194050913
498	0.7184215671
499	0.717074182
500	0.7154915342
501	0.7149250851
502	0.7140170189
503	0.7128667559
504	0.711532646
505	0.7104902837
506	0.7095174222
507	0.7086858388
508	0.7075878632
509	0.7064144819
510	0.7052992947
511	0.7039775439
512	0.7027486165
513	0.7014899744
514	0.7007242604
515	0.6994816209
516	0.698702477
517	0.6973984149
518	0.6964614453
519	0.6952463004
520	0.694450529
521	0.6935433314
522	0.692934828
523	0.691607376
524	0.690765024
525	0.6897463133
526	0.6890166935
527	0.6879101688
528	0.6865580994
529	0.6856075559
530	0.6843128957
531	0.6830187432
532	0.682010482
533	0.6809612557
534	0.6805949433
535	0.6795844252
536	0.6779796112
537	0.6765134233
538	0.6755954295
539	0.6750628636
540	0.6738250721
541	0.6722166749
542	0.6716131784
543	0.6707771689
544	0.6694468329
545	0.6684360455
546	0.667900649
547	0.6666191978
548	0.6656081341
549	0.6649241112
550	0.6636733872
551	0.6620360139
552	0.6609680766
553	0.6602263873
554	0.6591302179
555	0.6578331077
556	0.6566801084
557	0.6558982335
558	0.6547361796
559	0.6536050855
560	0.6531575798
561	0.6524862879
562	0.6515200415
563	0.6506495052
564	0.6498092966
565	0.64916319
566	0.647965832
567	0.6466089103
568	0.6454322941
569	0.6442907752
570	0.6432319257
571	0.6417211624
572	0.6406872784
573	0.6392876633
574	0.6384003835
