iter	Passed	Remaining
0	117	117221
1	144	72074
2	171	57094
3	198	49404
4	228	45410
5	256	42497
6	286	40600
7	313	38931
8	342	37685
9	369	36588
10	396	35671
11	425	34999
12	454	34479
13	481	33917
14	508	33404
15	536	32995
16	566	32735
17	594	32443
18	622	32115
19	649	31822
20	678	31607
21	706	31389
22	736	31290
23	763	31064
24	791	30855
25	820	30737
26	848	30567
27	878	30494
28	907	30400
29	935	30245
30	964	30147
31	993	30056
32	1021	29918
33	1048	29782
34	1077	29710
35	1107	29662
36	1137	29613
37	1165	29504
38	1194	29425
39	1222	29328
40	1251	29274
41	1280	29200
42	1308	29114
43	1337	29066
44	1367	29016
45	1394	28921
46	1424	28878
47	1453	28833
48	1481	28749
49	1510	28697
50	1538	28634
51	1567	28574
52	1595	28506
53	1624	28464
54	1653	28402
55	1680	28325
56	1707	28255
57	1736	28195
58	1763	28133
59	1792	28076
60	1823	28063
61	1852	28028
62	1883	28008
63	1911	27950
64	1941	27926
65	1971	27902
66	2001	27865
67	2029	27816
68	2059	27784
69	2089	27755
70	2118	27720
71	2148	27685
72	2177	27657
73	2209	27647
74	2238	27604
75	2267	27572
76	2296	27529
77	2325	27486
78	2353	27442
79	2382	27394
80	2412	27366
81	2440	27322
82	2470	27289
83	2497	27239
84	2525	27189
85	2555	27159
86	2585	27133
87	2614	27091
88	2643	27060
89	2672	27020
90	2701	26988
91	2730	26948
92	2759	26908
93	2789	26886
94	2819	26856
95	2849	26830
96	2878	26799
97	2908	26772
98	2938	26746
99	2967	26704
100	2997	26684
101	3027	26655
102	3057	26628
103	3088	26604
104	3117	26576
105	3147	26548
106	3175	26505
107	3205	26472
108	3234	26442
109	3264	26409
110	3292	26366
111	3321	26335
112	3351	26306
113	3379	26267
114	3409	26240
115	3439	26214
116	3469	26184
117	3497	26144
118	3526	26105
119	3555	26076
120	3585	26044
121	3614	26014
122	3644	25987
123	3672	25945
124	3703	25924
125	3734	25902
126	3763	25871
127	3794	25847
128	3830	25861
129	3861	25844
130	3894	25836
131	3925	25815
132	3954	25779
133	3986	25760
134	4017	25739
135	4045	25703
136	4074	25668
137	4103	25631
138	4132	25596
139	4161	25564
140	4191	25536
141	4220	25503
142	4249	25464
143	4277	25425
144	4306	25392
145	4336	25363
146	4365	25330
147	4392	25289
148	4420	25245
149	4449	25211
150	4477	25174
151	4504	25131
152	4533	25096
153	4562	25062
154	4590	25023
155	4619	24990
156	4647	24953
157	4677	24926
158	4707	24897
159	4736	24867
160	4765	24836
161	4793	24794
162	4820	24753
163	4849	24719
164	4876	24679
165	4905	24647
166	4933	24610
167	4963	24580
168	4991	24542
169	5018	24501
170	5046	24466
171	5074	24429
172	5103	24398
173	5135	24380
174	5167	24362
175	5196	24330
176	5225	24298
177	5253	24261
178	5283	24231
179	5310	24194
180	5339	24160
181	5367	24123
182	5395	24089
183	5423	24052
184	5453	24023
185	5483	23996
186	5512	23964
187	5542	23937
188	5571	23908
189	5600	23877
190	5629	23842
191	5659	23815
192	5689	23789
193	5719	23760
194	5747	23728
195	5776	23696
196	5806	23667
197	5836	23639
198	5863	23602
199	5891	23567
200	5920	23533
201	5948	23500
202	5976	23463
203	6004	23429
204	6031	23391
205	6060	23358
206	6088	23325
207	6117	23294
208	6146	23261
209	6173	23225
210	6202	23193
211	6229	23155
212	6259	23127
213	6288	23096
214	6316	23063
215	6344	23028
216	6374	23001
217	6404	22972
218	6432	22940
219	6461	22908
220	6488	22871
221	6516	22836
222	6544	22803
223	6581	22801
224	6610	22770
225	6640	22741
226	6669	22709
227	6698	22679
228	6729	22655
229	6757	22623
230	6786	22593
231	6816	22564
232	6845	22535
233	6874	22502
234	6903	22471
235	6929	22434
236	6959	22404
237	6987	22372
238	7016	22342
239	7045	22309
240	7073	22277
241	7101	22244
242	7128	22206
243	7157	22176
244	7184	22138
245	7212	22108
246	7242	22080
247	7270	22046
248	7299	22016
249	7327	21981
250	7354	21947
251	7382	21914
252	7412	21884
253	7441	21854
254	7472	21831
255	7503	21806
256	7532	21778
257	7563	21752
258	7592	21723
259	7621	21691
260	7650	21662
261	7678	21630
262	7708	21600
263	7735	21565
264	7762	21530
265	7790	21495
266	7817	21460
267	7844	21426
268	7873	21395
269	7902	21366
270	7930	21332
271	7958	21300
272	7987	21270
273	8015	21238
274	8041	21201
275	8070	21170
276	8100	21143
277	8129	21113
278	8156	21077
279	8184	21044
280	8211	21010
281	8237	20974
282	8266	20943
283	8293	20909
284	8321	20876
285	8350	20845
286	8377	20811
287	8404	20776
288	8431	20743
289	8458	20709
290	8487	20680
291	8515	20647
292	8542	20613
293	8571	20582
294	8600	20553
295	8629	20523
296	8656	20490
297	8684	20457
298	8712	20427
299	8741	20396
300	8769	20364
301	8809	20360
302	8837	20328
303	8865	20296
304	8893	20265
305	8921	20232
306	8950	20204
307	8978	20173
308	9008	20144
309	9038	20116
310	9067	20089
311	9098	20063
312	9129	20038
313	9159	20010
314	9190	19986
315	9220	19958
316	9250	19931
317	9278	19899
318	9308	19871
319	9336	19839
320	9364	19807
321	9392	19777
322	9421	19747
323	9451	19719
324	9480	19689
325	9508	19657
326	9537	19628
327	9564	19595
328	9593	19566
329	9622	19537
330	9651	19507
331	9679	19475
332	9709	19447
333	9737	19416
334	9766	19386
335	9796	19358
336	9827	19333
337	9856	19305
338	9887	19278
339	9917	19252
340	9947	19223
341	9977	19196
342	10008	19170
343	10038	19142
344	10067	19113
345	10096	19084
346	10125	19054
347	10154	19025
348	10184	18996
349	10213	18967
350	10244	18942
351	10275	18915
352	10303	18884
353	10332	18854
354	10361	18825
355	10388	18793
356	10416	18762
357	10444	18730
358	10471	18696
359	10500	18667
360	10528	18635
361	10556	18604
362	10584	18574
363	10613	18543
364	10640	18511
365	10668	18480
366	10697	18451
367	10724	18417
368	10753	18388
369	10782	18358
370	10808	18325
371	10838	18297
372	10868	18268
373	10895	18236
374	10923	18205
375	10952	18176
376	10981	18147
377	11009	18116
378	11038	18086
379	11067	18057
380	11101	18035
381	11131	18008
382	11159	17978
383	11190	17951
384	11219	17922
385	11248	17893
386	11277	17863
387	11305	17832
388	11331	17799
389	11359	17767
390	11388	17738
391	11417	17708
392	11444	17676
393	11472	17644
394	11499	17612
395	11527	17581
396	11555	17551
397	11585	17523
398	11613	17492
399	11640	17461
400	11668	17430
401	11696	17399
402	11724	17368
403	11752	17337
404	11781	17308
405	11809	17278
406	11838	17249
407	11867	17219
408	11895	17188
409	11924	17160
410	11953	17130
411	11981	17099
412	12009	17068
413	12036	17037
414	12065	17007
415	12093	16976
416	12120	16945
417	12147	16914
418	12175	16883
419	12203	16851
420	12232	16823
421	12261	16794
422	12290	16765
423	12317	16733
424	12345	16702
425	12372	16670
426	12399	16638
427	12427	16608
428	12455	16578
429	12484	16549
430	12511	16518
431	12540	16488
432	12567	16456
433	12596	16427
434	12624	16397
435	12653	16367
436	12681	16338
437	12709	16307
438	12738	16278
439	12765	16246
440	12794	16217
441	12822	16187
442	12851	16158
443	12879	16128
444	12907	16097
445	12934	16066
446	12961	16035
447	12989	16004
448	13018	15976
449	13046	15946
450	13076	15917
451	13104	15887
452	13132	15857
453	13160	15827
454	13190	15799
455	13219	15770
456	13246	15739
457	13273	15708
458	13302	15679
459	13332	15650
460	13361	15621
461	13390	15593
462	13419	15564
463	13448	15535
464	13476	15504
465	13505	15476
466	13534	15447
467	13562	15417
468	13589	15386
469	13617	15355
470	13644	15325
471	13673	15295
472	13701	15266
473	13729	15235
474	13757	15205
475	13785	15175
476	13812	15144
477	13839	15113
478	13868	15084
479	13896	15055
480	13925	15025
481	13953	14995
482	13981	14965
483	14009	14936
484	14038	14907
485	14066	14876
486	14093	14846
487	14122	14817
488	14150	14786
489	14178	14756
490	14206	14726
491	14235	14697
492	14264	14670
493	14294	14641
494	14322	14611
495	14349	14581
496	14377	14550
497	14406	14522
498	14434	14492
499	14461	14461
500	14489	14431
501	14517	14401
502	14544	14370
503	14572	14341
504	14600	14311
505	14630	14283
506	14658	14253
507	14686	14224
508	14713	14193
509	14740	14162
510	14768	14132
511	14795	14101
512	14824	14073
513	14853	14044
514	14882	14015
515	14911	13986
516	14938	13956
517	14966	13926
518	14994	13896
519	15023	13867
520	15052	13839
521	15081	13810
522	15109	13780
523	15138	13752
524	15168	13723
525	15195	13693
526	15222	13662
527	15251	13634
528	15280	13605
529	15310	13577
530	15339	13548
531	15369	13520
532	15397	13491
533	15426	13461
534	15453	13431
535	15483	13403
536	15513	13375
537	15542	13346
538	15570	13317
539	15599	13288
540	15628	13260
541	15657	13231
542	15686	13202
543	15716	13173
544	15744	13144
545	15774	13116
546	15804	13088
547	15835	13061
548	15865	13033
549	15894	13004
550	15925	12977
551	15954	12948
552	15985	12920
553	16014	12892
554	16044	12864
555	16073	12835
556	16101	12805
557	16129	12776
558	16158	12747
559	16185	12717
560	16215	12688
561	16243	12659
562	16271	12629
563	16299	12600
564	16329	12572
565	16358	12543
566	16388	12515
567	16417	12486
568	16447	12458
569	16476	12429
570	16511	12405
571	16542	12377
572	16572	12350
573	16602	12321
574	16637	12297
575	16666	12268
576	16699	12242
577	16729	12214
578	16759	12185
579	16788	12157
580	16816	12127
581	16845	12098
582	16874	12069
583	16903	12040
584	16934	12013
585	16964	11985
586	16992	11955
587	17022	11927
588	17050	11897
589	17079	11868
590	17109	11840
591	17138	11811
592	17167	11782
593	17197	11754
594	17226	11725
595	17257	11698
596	17285	11668
597	17313	11638
598	17341	11609
599	17369	11579
600	17398	11550
601	17427	11522
602	17456	11492
603	17486	11464
604	17514	11435
605	17544	11407
606	17575	11378
607	17602	11348
608	17629	11319
609	17658	11289
610	17685	11259
611	17713	11229
612	17742	11201
613	17771	11172
614	17798	11142
615	17826	11112
616	17854	11082
617	17882	11053
618	17911	11024
619	17940	10995
620	17967	10965
621	17996	10936
622	18024	10907
623	18052	10877
624	18079	10847
625	18108	10819
626	18138	10790
627	18167	10761
628	18195	10732
629	18222	10702
630	18252	10673
631	18281	10645
632	18310	10616
633	18339	10586
634	18368	10558
635	18398	10529
636	18427	10500
637	18455	10471
638	18484	10442
639	18512	10413
640	18542	10384
641	18569	10355
642	18597	10325
643	18626	10296
644	18653	10266
645	18680	10236
646	18709	10207
647	18739	10179
648	18768	10150
649	18797	10121
650	18824	10091
651	18853	10062
652	18880	10032
653	18909	10004
654	18938	9975
655	18965	9945
656	18994	9916
657	19021	9886
658	19050	9857
659	19079	9828
660	19109	9800
661	19138	9771
662	19166	9741
663	19195	9713
664	19223	9684
665	19251	9654
666	19279	9625
667	19308	9596
668	19337	9567
669	19366	9538
670	19395	9510
671	19423	9480
672	19451	9450
673	19478	9421
674	19505	9391
675	19534	9362
676	19563	9333
677	19592	9304
678	19620	9275
679	19648	9246
680	19677	9217
681	19706	9188
682	19735	9159
683	19764	9130
684	19793	9102
685	19821	9072
686	19849	9043
687	19876	9013
688	19905	8984
689	19934	8956
690	19961	8926
691	19989	8896
692	20018	8868
693	20045	8838
694	20073	8809
695	20102	8780
696	20129	8750
697	20158	8721
698	20187	8693
699	20217	8664
700	20245	8635
701	20273	8606
702	20301	8576
703	20330	8547
704	20360	8519
705	20389	8490
706	20418	8461
707	20447	8433
708	20476	8404
709	20505	8375
710	20535	8346
711	20562	8317
712	20589	8287
713	20618	8259
714	20646	8229
715	20674	8200
716	20703	8171
717	20730	8142
718	20760	8113
719	20788	8084
720	20815	8054
721	20844	8025
722	20873	7997
723	20901	7968
724	20929	7938
725	20956	7909
726	20983	7879
727	21012	7850
728	21040	7821
729	21068	7792
730	21097	7763
731	21124	7734
732	21152	7704
733	21183	7676
734	21211	7647
735	21239	7618
736	21267	7589
737	21295	7560
738	21323	7531
739	21353	7502
740	21381	7473
741	21407	7443
742	21435	7414
743	21463	7385
744	21490	7355
745	21518	7326
746	21547	7297
747	21575	7268
748	21602	7239
749	21632	7210
750	21658	7181
751	21687	7152
752	21716	7123
753	21746	7094
754	21776	7066
755	21811	7039
756	21841	7011
757	21869	6982
758	21897	6952
759	21928	6924
760	21956	6895
761	21986	6867
762	22016	6838
763	22045	6809
764	22074	6781
765	22109	6754
766	22139	6725
767	22169	6696
768	22198	6668
769	22226	6639
770	22255	6610
771	22283	6581
772	22313	6552
773	22341	6523
774	22369	6494
775	22397	6465
776	22426	6436
777	22456	6407
778	22486	6379
779	22516	6350
780	22543	6321
781	22572	6292
782	22601	6263
783	22631	6235
784	22659	6206
785	22687	6176
786	22716	6148
787	22746	6119
788	22775	6090
789	22805	6062
790	22834	6033
791	22861	6004
792	22890	5975
793	22919	5946
794	22948	5917
795	22975	5888
796	23003	5859
797	23031	5830
798	23059	5800
799	23089	5772
800	23118	5743
801	23148	5714
802	23177	5686
803	23205	5657
804	23233	5627
805	23261	5599
806	23290	5570
807	23318	5541
808	23347	5512
809	23375	5483
810	23405	5454
811	23433	5425
812	23461	5396
813	23491	5367
814	23519	5338
815	23549	5310
816	23577	5281
817	23605	5252
818	23641	5224
819	23670	5195
820	23699	5167
821	23726	5137
822	23754	5108
823	23783	5079
824	23811	5050
825	23840	5022
826	23868	4992
827	23896	4964
828	23925	4935
829	23953	4906
830	23982	4877
831	24011	4848
832	24038	4819
833	24068	4790
834	24097	4761
835	24125	4732
836	24154	4704
837	24182	4674
838	24210	4645
839	24238	4616
840	24265	4587
841	24294	4558
842	24322	4529
843	24349	4500
844	24377	4471
845	24404	4442
846	24433	4413
847	24461	4384
848	24489	4355
849	24517	4326
850	24546	4297
851	24575	4269
852	24604	4240
853	24633	4211
854	24662	4182
855	24690	4153
856	24717	4124
857	24746	4095
858	24773	4066
859	24802	4037
860	24831	4008
861	24859	3979
862	24887	3950
863	24915	3921
864	24943	3892
865	24971	3863
866	25000	3835
867	25028	3806
868	25056	3777
869	25084	3748
870	25113	3719
871	25142	3690
872	25172	3661
873	25201	3633
874	25233	3604
875	25261	3575
876	25289	3546
877	25316	3517
878	25344	3488
879	25372	3459
880	25401	3431
881	25430	3402
882	25459	3373
883	25486	3344
884	25515	3315
885	25542	3286
886	25572	3257
887	25600	3228
888	25628	3199
889	25655	3170
890	25682	3141
891	25710	3112
892	25739	3084
893	25767	3055
894	25797	3026
895	25825	2997
896	25852	2968
897	25879	2939
898	25909	2910
899	25938	2882
900	25967	2853
901	25996	2824
902	26026	2795
903	26054	2766
904	26083	2738
905	26110	2709
906	26139	2680
907	26167	2651
908	26196	2622
909	26225	2593
910	26254	2564
911	26281	2535
912	26309	2507
913	26338	2478
914	26366	2449
915	26395	2420
916	26423	2391
917	26452	2362
918	26480	2333
919	26511	2305
920	26538	2276
921	26567	2247
922	26596	2218
923	26623	2189
924	26652	2161
925	26681	2132
926	26710	2103
927	26738	2074
928	26766	2045
929	26794	2016
930	26823	1987
931	26851	1959
932	26879	1930
933	26908	1901
934	26937	1872
935	26966	1843
936	26995	1815
937	27023	1786
938	27052	1757
939	27081	1728
940	27107	1699
941	27136	1670
942	27166	1642
943	27194	1613
944	27222	1584
945	27249	1555
946	27277	1526
947	27305	1497
948	27332	1468
949	27361	1440
950	27390	1411
951	27419	1382
952	27447	1353
953	27476	1324
954	27503	1295
955	27532	1267
956	27559	1238
957	27586	1209
958	27614	1180
959	27642	1151
960	27670	1122
961	27699	1094
962	27726	1065
963	27753	1036
964	27780	1007
965	27809	978
966	27836	949
967	27863	921
968	27892	892
969	27921	863
970	27949	834
971	27978	805
972	28007	777
973	28036	748
974	28064	719
975	28091	690
976	28119	661
977	28147	633
978	28174	604
979	28204	575
980	28231	546
981	28259	517
982	28288	489
983	28316	460
984	28343	431
985	28372	402
986	28399	374
987	28427	345
988	28454	316
989	28482	287
990	28511	258
991	28541	230
992	28569	201
993	28598	172
994	28626	143
995	28655	115
996	28683	86
997	28712	57
998	28741	28
999	28768	0
